Gene_symbol	Ensembl_ID	dominant_dir	GSE130970_model	GSE135251_model	GSE162694_model	GSE130970_coef_a	GSE135251_coef_a	GSE162694_coef_a	GSE130970_coef_b	GSE135251_coef_b	GSE162694_coef_b	GSE130970_coef_c	GSE135251_coef_c	GSE162694_coef_c	GSE130970_r2	GSE135251_r2	GSE162694_r2	GSE130970_delta_F4_F1	GSE135251_delta_F4_F1	GSE162694_delta_F4_F1
FLNA	ENSG00000196924	up	power_law	power_law	power_law	0.0024649357119271	0.00276933325134315	0.000221651784185589	2.701550094876	2.42192653860774	4.63792743348059	NA	NA	NA	0.886100547996713	0.933345592744808	0.948219573396128	0.101839030642504	0.076758708926181	0.137176781901625
HDAC1	ENSG00000116478	up	linear	power_law	linear	-0.0111405771601301	2.13902608495368e-11	-0.0216683757090252	0.00615001265129066	13.5477074054998	0.00748733976760443	NA	NA	NA	0.895118735826437	0.468497246864404	0.806376354408659	0.018450037953872	0.00306724650850983	0.0224620193028133
HDAC2	ENSG00000196591	up	linear	linear	power_law	-0.0101543813434623	0.00405055947318902	0.00753708477236059	0.0050474579682208	0.000754436329329708	0.673867546190774	NA	NA	NA	0.818091057344209	0.0908010006983719	0.554329839229841	0.0151423739046624	0.00226330898798912	0.0116457192083759
HDAC3	ENSG00000171720	down	power_law	power_law	power_law	-0.00418851867311901	-0.00523486010199987	-0.0108298333263501	0.796724507157753	0.822540756621346	0.837712395775509	NA	NA	NA	0.401653007987588	0.9112479327942	0.672703473429591	-0.00845117083806323	-0.0111379777473614	-0.0237621044062422
HNF4A	ENSG00000101076	down	power_law	linear	power_law	-0.000293125376174212	-0.0012166363483184	-0.0201148629212281	3.53340230477494	-0.00371533760504548	0.371043148636647	NA	NA	NA	0.930192372638964	0.674511781148791	0.578911313449012	-0.0390051578543212	-0.0111460128151364	-0.0135291128958681
ILK	ENSG00000166333	up	power_law	power_law	power_law	0.000205770534487953	0.0016526826185637	7.44440320519266e-07	3.7076344899265	0.423562868015949	8.15276594675436	NA	NA	NA	0.925060967583219	0.101794150192462	0.899173214835838	0.0349180358512	0.00132035028859436	0.0602946419567533
KDM4A	ENSG00000066135	down	linear	power_law	power_law	0.00174024547336666	-8.23094720683177e-05	-1.31003822036406e-05	-0.00263019579945459	3.83267467741489	5.88012809715226	NA	NA	NA	0.148674065761455	0.91879218408034	0.874876043693815	-0.00789058739836377	-0.0166266689889364	-0.0454306156703449
KDM4B	ENSG00000127663	down	power_law	power_law	power_law	-0.00168064708462061	-0.00391698113838807	-0.000434058327824803	2.18060561819687	1.56061429094748	3.20663279489287	NA	NA	NA	0.74147117619972	0.645802761965098	0.69793646210444	-0.0328601158532605	-0.0301657906602951	-0.0365601217004875
KLF2	ENSG00000127528	up	power_law	power_law	power_law	0.0225439340432975	4.01256965305422e-05	6.68697033795507e-09	1.05281020910735	5.21973881666948	12.6850380934009	NA	NA	NA	0.306248557977068	0.932263296930495	0.981978995325317	0.0744812802293155	0.055680821578819	0.289990193164165
LMNA	ENSG00000160789	up	power_law	linear	linear	2.23922299385059e-09	-0.0116999769258322	-0.104026572558812	11.5743625679566	0.0078034339145085	0.0467683399909678	NA	NA	NA	0.315545710711293	0.784222747069983	0.855415954818109	0.0208237013083526	0.0234103017435255	0.140305019972903
LMNB2	ENSG00000176619	up	power_law	power_law	linear	2.82445801617829e-06	0.00531867688579425	-0.061720163387698	7.15270836528551	0.689615095782998	0.0264343975593525	NA	NA	NA	0.904347065650129	0.204210228902857	0.75059770086308	0.0571838260293861	0.00851677237344099	0.0793031926780574
LOX	ENSG00000113083	up	power_law	power_law	sigmoid	0.00368700761834986	0.0152025467548764	0.128222059784561	2.9647543660749	2.376842228139	2.8029495575551	NA	NA	2.51892155012262	0.919386139956488	0.978769223063794	0.997343816084649	0.221029006451045	0.394924073381413	0.12444475123168
MKL1	ENSG00000196588	up	sigmoid	linear	linear	0.0834058433816548	-0.0111895294030774	-0.0254993606542002	0.551160862651544	0.00729679809174463	0.0150818686827887	3.89247726906828	NA	NA	0.99907629092993	0.210019619342332	0.480606212871753	0.0288601134967041	0.0218903942752339	0.0452456060483661
MYH10	ENSG00000133026	up	sigmoid	linear	linear	0.0321780308799806	-0.0183735521764763	-0.0220373257016205	3.28414102115855	0.00669238930412121	0.0126482943204908	2.99592012484173	NA	NA	0.983324110522385	0.776404445436057	0.978299928957537	0.0309849722038907	0.0200771679123636	0.0379448829614724
MYH9	ENSG00000100345	up	power_law	power_law	power_law	0.000824493200185071	-0.00719558965030552	7.11703846716169e-06	2.35989946331456	-2.38149882732957e+29	6.47857499615784	NA	NA	NA	0.624636215793902	0.242680889654486	0.969356972730401	0.0209019246942443	0.00719558965030552	0.0565894539173819
MYL9	ENSG00000101335	up	power_law	linear	linear	0.000475133078759933	-0.0381644388372989	-0.152860702169274	4.20702732410394	0.0125215021587854	0.0733611373106715	NA	NA	NA	0.992024274692293	0.778764977890614	0.836200754118177	0.161593176124468	0.0375645064763562	0.220083411932015
NUP93	ENSG00000102900	up	power_law	power_law	power_law	0.000831619878173235	0.0106627169343175	5.02959795048256e-05	2.71350611978331	0.613580763120001	5.07870174223573	NA	NA	NA	0.819767175307497	0.595399708095793	0.891713804195301	0.034946567369848	0.0142993365258368	0.0573899640484366
