Gene_symbol	Ensembl_ID	dataset	model	aic	r2	coef_a	coef_b	coef_c	n_points
BRD4	ENSG00000141867	GSE130970	power_law	-35.4009319225937	0.551196930466138	-4.09246713001087e-11	14.3280479789588	NA	4
BRD4	ENSG00000141867	GSE135251	power_law	-31.114121677582	0.0665270050746678	-0.00985288205765058	-1.03495846516048	NA	4
BRD4	ENSG00000141867	GSE162694	power_law	-26.4336156899327	0.391475122225568	-1.80793647259821e-09	12.117938045305	NA	4
CBX5	ENSG00000094916	GSE130970	linear	-36.909166030115	0.428786549359854	0.00343437952809311	0.00362964878717115	NA	4
CBX5	ENSG00000094916	GSE135251	linear	-40.6653992998766	0.814922593034012	0.0208735037786442	-0.00549681085473446	NA	4
CBX5	ENSG00000094916	GSE162694	linear	-33.9174494176466	0.320847595018578	0.0109679685273642	-0.00418523418961319	NA	4
CCN2	ENSG00000118523	GSE130970	power_law	-25.814468782182	0.968431970158144	0.010598061436446	2.40754877928677	NA	4
CCN2	ENSG00000118523	GSE135251	power_law	-31.5741764186336	0.962785388899713	0.00841890541682035	2.00445075278144	NA	4
CCN2	ENSG00000118523	GSE162694	power_law	-30.5886878288309	0.996683048516505	0.00132162357026131	4.22340926855431	NA	4
CFL1	ENSG00000172757	GSE130970	sigmoid	-52.2698576646781	0.998776572950781	0.0652678407440736	1.16999020786748	3.38276354768956	4
CFL1	ENSG00000172757	GSE135251	sigmoid	-50.0615302917983	0.955774536121827	0.00910151103044468	3.28370496240147	1.58864619979672	4
CFL1	ENSG00000172757	GSE162694	power_law	-30.6683427070158	0.931718009493284	2.02674428674782e-07	9.30508498872295	NA	4
COL1A1	ENSG00000108821	GSE130970	power_law	-22.6608461801186	0.794566789444609	0.0184705200638019	1.68570432892697	NA	4
COL1A1	ENSG00000108821	GSE135251	power_law	-30.5037844610519	0.966288719479535	0.0504428869101151	0.982486953245459	NA	4
COL1A1	ENSG00000108821	GSE162694	linear	-22.427030380749	0.840296111348322	-0.0812929555873121	0.0587341409331026	NA	4
COL1A2	ENSG00000164692	GSE130970	power_law	-26.7996683738659	0.939299376767482	0.00509831416583989	2.62264218101744	NA	4
COL1A2	ENSG00000164692	GSE135251	power_law	-48.0065129141572	0.999435783661987	0.0279126311049627	1.25493473855399	NA	4
COL1A2	ENSG00000164692	GSE162694	sigmoid	-39.0207896827908	0.995764205832962	0.0971230400356782	4.11439608313508	2.19060348663289	4
CREBBP	ENSG00000005339	GSE130970	power_law	-43.5807950751814	0.958053691010466	-0.00394842975768757	1.46944891574529	NA	4
CREBBP	ENSG00000005339	GSE135251	linear	-32.9141193261522	0.14613850235339	0.00436202233857698	-0.00285568429314391	NA	4
CREBBP	ENSG00000005339	GSE162694	power_law	-33.0676894110116	0.181119099315063	-1.74547472864191e-08	9.16317933687778	NA	4
CTCF	ENSG00000102974	GSE130970	power_law	-39.5460428341153	0.638597031787118	1.24898331388799e-06	6.83243877311677	NA	4
CTCF	ENSG00000102974	GSE135251	linear	-39.1480495303279	0.662281655538828	0.0105094281474135	-0.00443450790163811	NA	4
CTCF	ENSG00000102974	GSE162694	power_law	-46.7557456093365	0.915127311465873	1.34702228504248e-09	11.5528344783478	NA	4
CTNNB1	ENSG00000168036	GSE130970	power_law	-41.7589614520376	0.388934749884495	0.000702854733532491	1.62945118481914	NA	4
CTNNB1	ENSG00000168036	GSE135251	power_law	-52.0521870788127	0.966845366526863	-0.000133669154856768	3.13469528445421	NA	4
CTNNB1	ENSG00000168036	GSE162694	linear	-31.7699345749226	0.421036198581087	-0.0122093276724731	0.00679156301944369	NA	4
DNMT1	ENSG00000130816	GSE130970	power_law	-30.7297955887261	0.506202965352621	4.25011897972323e-06	6.62871132763281	NA	4
DNMT1	ENSG00000130816	GSE135251	power_law	-32.1243446078372	0.517525527218755	0.0115896281998204	0.776720187700751	NA	4
DNMT1	ENSG00000130816	GSE162694	linear	-26.2626924547685	0.0588198899777129	0.0151280040307798	-0.00396307292604816	NA	4
DNMT3A	ENSG00000119772	GSE130970	power_law	-34.6840140162214	0.00885443046021783	-0.0116562437230888	-0.113573284392257	NA	4
DNMT3A	ENSG00000119772	GSE135251	power_law	-34.6689347819979	0.946824510765136	0.00635172831152342	1.79669093648288	NA	4
DNMT3A	ENSG00000119772	GSE162694	linear	-25.7395405514052	0.007300661339327	-0.00880087883797722	0.00145137224526029	NA	4
DNMT3B	ENSG00000088305	GSE130970	power_law	-31.2699168365447	0.811216760994651	-0.00311401523270414	2.09073091601033	NA	4
DNMT3B	ENSG00000088305	GSE135251	sigmoid	-73.58429551991	0.999985436813946	0.510623889150696	0.630701144537118	8.37142161068776	4
DNMT3B	ENSG00000088305	GSE162694	power_law	-38.8458723304682	0.989335994360476	-1.36893197500599e-05	6.33377510475937	NA	4
DYNC1H1	ENSG00000197102	GSE130970	power_law	-40.0466187584106	0.573834435047931	0.00963896930555229	-4.50862638836335	NA	4
DYNC1H1	ENSG00000197102	GSE135251	linear	-38.2317134635976	0.00475510443246452	0.00322634884449296	-0.000245449079938949	NA	4
DYNC1H1	ENSG00000197102	GSE162694	power_law	-42.2313573765066	0.775629702632758	9.33667235814523e-10	11.8937571444426	NA	4
EED	ENSG00000074266	GSE130970	power_law	-32.0007789216035	0.332446454393891	5.24244250374005e-09	10.5388328788154	NA	4
EED	ENSG00000074266	GSE135251	linear	-29.614225527767	0.0289162049670944	0.00990083684971895	-0.00179930416106431	NA	4
EED	ENSG00000074266	GSE162694	linear	-30.8868216266136	0.452993824774478	0.0315148531414522	-0.00809332785769819	NA	4
EHMT1	ENSG00000181090	GSE130970	linear	-38.7458286433917	0.907054828871374	0.0179855254971942	-0.0104025554433745	NA	4
EHMT1	ENSG00000181090	GSE135251	linear	-35.3549658285769	0.528038314880978	-0.000571565745519871	-0.00538139855565037	NA	4
EHMT1	ENSG00000181090	GSE162694	power_law	-33.9736593302965	0.839270825485166	-0.000150260349617324	4.13718815675844	NA	4
EHMT2	ENSG00000204371	GSE130970	linear	-35.4768087457825	0.511384113896499	-0.00310252783895114	-0.00512614837661658	NA	4
EHMT2	ENSG00000204371	GSE135251	power_law	-32.7759112126512	0.414507725056056	-0.013287170936649	-921957.671312475	NA	4
EHMT2	ENSG00000204371	GSE162694	power_law	-24.0901446717504	0.0170809448688664	-0.0269437538307265	-0.348252697427465	NA	4
EMD	ENSG00000102119	GSE130970	linear	-27.6266856073334	0.234852661573645	-0.0148734974192453	0.00740601692565476	NA	4
EMD	ENSG00000102119	GSE135251	power_law	-41.5532151294323	0.827985094287129	-0.00432820843732061	1.1565141378814	NA	4
