dataset	Ensembl_ID	Gene_symbol	histology_group	stage	mean_expr	sd_expr	n_samples
GSE130970	ENSG00000181090	EHMT1	F3	3	9.95818929168022	0.340297094716702	14
GSE130970	ENSG00000181090	EHMT1	F4	4	9.92550895702846	0.106564718727342	2
GSE130970	ENSG00000204371	EHMT2	F0	0	8.62324912024784	0.179984418249034	18
GSE130970	ENSG00000204371	EHMT2	F1	1	8.51193139043321	0.168151170959427	28
GSE130970	ENSG00000204371	EHMT2	F2	2	8.53638782355987	0.182651892166562	9
GSE130970	ENSG00000204371	EHMT2	F3	3	8.5283611355318	0.269017608806732	14
GSE130970	ENSG00000204371	EHMT2	F4	4	8.36726010484617	0.11010800207459	2
GSE130970	ENSG00000102119	EMD	F0	0	7.18555306595822	0.216633875640737	18
GSE130970	ENSG00000102119	EMD	F1	1	7.15746356959998	0.277821575533662	28
GSE130970	ENSG00000102119	EMD	F2	2	7.06543039141586	0.144012587822324	9
GSE130970	ENSG00000102119	EMD	F3	3	7.40098435049015	0.42364202753935	14
GSE130970	ENSG00000102119	EMD	F4	4	7.22300000866414	0.065918887340182	2
GSE130970	ENSG00000100393	EP300	F0	0	11.0550274288092	0.125803977384426	18
GSE130970	ENSG00000100393	EP300	F1	1	11.1351136817263	0.150225672443577	28
GSE130970	ENSG00000100393	EP300	F2	2	11.004675095214	0.158834396423871	9
GSE130970	ENSG00000100393	EP300	F3	3	11.1159882727164	0.194716602565186	14
GSE130970	ENSG00000100393	EP300	F4	4	10.8873274687676	0.0638370042384602	2
GSE130970	ENSG00000106462	EZH2	F0	0	7.40317505799905	0.31857193384555	18
GSE130970	ENSG00000106462	EZH2	F1	1	7.58898814997618	0.230012842061031	28
GSE130970	ENSG00000106462	EZH2	F2	2	7.42502324265375	0.408458112591694	9
GSE130970	ENSG00000106462	EZH2	F3	3	7.36984989528168	0.253386863771528	14
GSE130970	ENSG00000106462	EZH2	F4	4	7.78079593085385	0.337945036844042	2
GSE130970	ENSG00000073712	FERMT2	F0	0	11.6647113887269	0.253338052506671	18
GSE130970	ENSG00000073712	FERMT2	F1	1	11.648964278651	0.171481975126088	28
GSE130970	ENSG00000073712	FERMT2	F2	2	11.6331172720613	0.177963908254862	9
GSE130970	ENSG00000073712	FERMT2	F3	3	11.5595407258034	0.256167431151056	14
GSE130970	ENSG00000073712	FERMT2	F4	4	11.3544065865768	0.0833388129486111	2
GSE130970	ENSG00000196924	FLNA	F0	0	10.7669935010844	0.317962474168481	18
GSE130970	ENSG00000196924	FLNA	F1	1	11.031470506018	0.446297149701374	28
GSE130970	ENSG00000196924	FLNA	F2	2	10.9691632433832	0.318287991728387	9
GSE130970	ENSG00000196924	FLNA	F3	3	11.2005157201722	0.594964887479772	14
GSE130970	ENSG00000196924	FLNA	F4	4	11.9179050028541	0.476508304244303	2
GSE130970	ENSG00000163041	H3F3A	F0	0	12.3191754095295	0.193649338865299	18
GSE130970	ENSG00000163041	H3F3A	F1	1	12.329820462808	0.226844211639597	28
GSE130970	ENSG00000163041	H3F3A	F2	2	12.3499175874813	0.148087162930969	9
GSE130970	ENSG00000163041	H3F3A	F3	3	12.4222861326166	0.352084489260145	14
GSE130970	ENSG00000163041	H3F3A	F4	4	12.5108557769535	0.0598698487251981	2
GSE130970	ENSG00000116478	HDAC1	F0	0	9.53006511652804	0.140699777160839	18
GSE130970	ENSG00000116478	HDAC1	F1	1	9.47536858596623	0.158491998994641	28
GSE130970	ENSG00000116478	HDAC1	F2	2	9.56815445346726	0.128117796531137	9
GSE130970	ENSG00000116478	HDAC1	F3	3	9.56705369004727	0.216699176261457	14
GSE130970	ENSG00000116478	HDAC1	F4	4	9.67110224388713	0.122726061520736	2
GSE130970	ENSG00000196591	HDAC2	F0	0	9.48025755439587	0.153852452652971	18
GSE130970	ENSG00000196591	HDAC2	F1	1	9.4273635710517	0.149732068697072	28
GSE130970	ENSG00000196591	HDAC2	F2	2	9.5059916684726	0.150607905566765	9
GSE130970	ENSG00000196591	HDAC2	F3	3	9.48838638896268	0.240163863772133	14
GSE130970	ENSG00000196591	HDAC2	F4	4	9.59273600266741	0.231779919178743	2
GSE130970	ENSG00000171720	HDAC3	F0	0	9.56953156710188	0.122279567643085	18
GSE130970	ENSG00000171720	HDAC3	F1	1	9.55280615399883	0.128365651525437	28
GSE130970	ENSG00000171720	HDAC3	F2	2	9.4456353079466	0.107610742550488	9
GSE130970	ENSG00000171720	HDAC3	F3	3	9.5211042330206	0.247237120327965	14
GSE130970	ENSG00000171720	HDAC3	F4	4	9.43410360341927	0.200421639109203	2
GSE130970	ENSG00000108840	HDAC5	F0	0	9.36288111766521	0.173892926147907	18
GSE130970	ENSG00000108840	HDAC5	F1	1	9.14591904956248	0.268071836987295	28
GSE130970	ENSG00000108840	HDAC5	F2	2	9.1036511664122	0.13203490967837	9
GSE130970	ENSG00000108840	HDAC5	F3	3	9.03308252874474	0.330567972392568	14
GSE130970	ENSG00000108840	HDAC5	F4	4	8.79876773800203	0.242643178940686	2
GSE130970	ENSG00000101076	HNF4A	F0	0	12.3807969857413	0.287023588895467	18
GSE130970	ENSG00000101076	HNF4A	F1	1	12.4308751979404	0.235968730278819	28
GSE130970	ENSG00000101076	HNF4A	F2	2	12.4238251195305	0.266029031705927	9
GSE130970	ENSG00000101076	HNF4A	F3	3	12.1504925005622	0.401407162111945	14
GSE130970	ENSG00000101076	HNF4A	F4	4	11.9061355932945	0.276728079936384	2
GSE130970	ENSG00000166333	ILK	F0	0	9.78898491548352	0.165836769627476	18
GSE130970	ENSG00000166333	ILK	F1	1	9.85869522761549	0.142641516388256	28
GSE130970	ENSG00000166333	ILK	F2	2	9.80935920519382	0.183080401153931	9
GSE130970	ENSG00000166333	ILK	F3	3	9.90495016893227	0.223439411449666	14
GSE130970	ENSG00000166333	ILK	F4	4	10.133685056333	0.00868739096277949	2
GSE130970	ENSG00000161638	ITGA5	F0	0	10.4176108422387	0.25969682026995	18
GSE130970	ENSG00000161638	ITGA5	F1	1	10.4392177582387	0.190635982329002	28
GSE130970	ENSG00000161638	ITGA5	F2	2	10.3655762315116	0.210234357204291	9
GSE130970	ENSG00000161638	ITGA5	F3	3	10.3928879861558	0.224062773590847	14
GSE130970	ENSG00000161638	ITGA5	F4	4	10.3100611208867	0.22721208813696	2
GSE130970	ENSG00000150093	ITGB1	F0	0	13.0688939835353	0.0938875389152769	18
GSE130970	ENSG00000150093	ITGB1	F1	1	13.1509590755943	0.138811916830841	28
GSE130970	ENSG00000150093	ITGB1	F2	2	13.2090729245894	0.105399324073397	9
GSE130970	ENSG00000150093	ITGB1	F3	3	13.3301877909417	0.399179451422466	14
GSE130970	ENSG00000150093	ITGB1	F4	4	13.7476643655502	0.301478248840977	2
GSE130970	ENSG00000004487	KDM1A	F0	0	9.74317367846213	0.115569944525872	18
GSE130970	ENSG00000004487	KDM1A	F1	1	9.80139279997601	0.148855288336231	28
GSE130970	ENSG00000004487	KDM1A	F2	2	9.85192690536919	0.0787993074450383	9
GSE130970	ENSG00000004487	KDM1A	F3	3	9.73364839542077	0.15590521885608	14
GSE130970	ENSG00000004487	KDM1A	F4	4	9.9181292517564	0.126866095981249	2
GSE130970	ENSG00000066135	KDM4A	F0	0	10.3834673063058	0.200920824932906	18
GSE130970	ENSG00000066135	KDM4A	F1	1	10.3884311286975	0.21080892533059	28
GSE130970	ENSG00000066135	KDM4A	F2	2	10.3866877417256	0.243590481821981	9
GSE130970	ENSG00000066135	KDM4A	F3	3	10.1974481392288	0.290541180736224	14
