Ensembl_ID	baseMean	stat_lrt	pvalue_lrt	padj_lrt	Gene_symbol
ENSG00000179921	17.93892328600768	12.853811699804737	0.01201263197794156	0.02936098067104748	GPBAR1
ENSG00000179922	89.53351374709271	12.215519652716011	0.015818538470450585	0.036875560155942295	ZNF784
ENSG00000179930	18.678497475597013	17.153163991045858	0.0018048798533761247	0.00594692764410488	ZNF648
ENSG00000179933	459.32292318480773	36.60324331888114	2.1742050591871642e-7	1.9958214168311263e-6	C14orf119
ENSG00000179934	4.027280581418761	3.1866935427187855	0.5270828458246487	0.6027428126516864	CCR8
ENSG00000179938	21.254655780788127	57.46429311950578	9.885839625690614e-12	1.917354441688566e-10	GOLGA8J
ENSG00000179941	309.1086345739042	2.4079102380856057	0.661198229087329	0.7182839288014313	BBS10
ENSG00000179943	101.92138488163515	3.977613508837294	0.40904400973710975	0.49613476135981566	FIZ1
ENSG00000179950	1046.6457658419524	10.265185117377769	0.03618990854420322	0.07204882375771614	PUF60
ENSG00000179954	37.35334551012096	37.182450209381386	1.651943235641862e-7	1.5507725110418315e-6	SSC5D
ENSG00000179958	195.82686414234288	8.79516998302006	0.06642821674621574	0.1179092649257098	DCTPP1
ENSG00000179965	61.566890961550214	3.3721622493862924	0.49758055083752567	0.5771762908767278	ZNF771
ENSG00000179981	365.5717471251165	31.369118841821546	2.573932392294454e-6	1.870645601885254e-5	TSHZ1
ENSG00000179988	142.84591594452374	8.574987285206134	0.0726465556281769	0.1268566529105951	PSTK
ENSG00000180008	304.9796081175855	10.698230815629358	0.030173237877576975	0.062067587363144085	SOCS4
ENSG00000180011	973.3722001782739	20.592959062289083	3.812754798497046e-4	0.001570197974114664	PTGR3
ENSG00000180035	89.77329366863997	11.65889513464299	0.02007653055380748	0.04466995294619475	ZNF48
ENSG00000180061	23.743103782531406	25.734178348845944	3.579970778651808e-5	1.9760166689408476e-4	TMEM150B
ENSG00000180071	113.32579324447916	26.658779467019485	2.3299536758207768e-5	1.3439033054823445e-4	ANKRD18A
ENSG00000180083	34.74669040517063	18.14764036215297	0.0011547398670409446	0.004065368771391044	WFDC11
ENSG00000180089	154.8322658818227	13.687131158649208	0.008363552055790374	0.021814909107741247	TMEM86B
ENSG00000180096	67.30989419372564	8.452727696131205	0.07633314275777006	0.13208078123535752	SEPTIN1
ENSG00000180098	166.35442716146582	14.937364509836698	0.00483290599824056	0.01380976818315785	TRNAU1AP
ENSG00000180104	505.40063113597193	14.352611423564667	0.0062506783341621415	0.017119165819075025	EXOC3
ENSG00000180113	155.3345821101493	5.423970960397128	0.2464937657567956	0.33321819736385927	TDRD6
ENSG00000180116	33.841688193300406	41.362302376748175	2.2613745352320222e-8	2.5179026182776395e-7	C12orf40
ENSG00000180155	858.1239115877714	15.874506812120671	0.0031922633829243037	0.009714486195992664	LYNX1
ENSG00000180176	23.773512086252797	12.865130078484071	0.011953944005738683	0.029242746704780977	TH
ENSG00000180182	815.6839588108247	13.222197050223258	0.01023961752834383	0.02572403370983096	MED14
ENSG00000180185	990.0017238105723	1.8583227544713736	0.7617963712663347	0.8011156456209316	FAHD1
ENSG00000180190	250.91683810411357	4.3393226641464935	0.3620269634725266	0.45099141197178966	TDRP
ENSG00000180198	219.3228267904444	7.369054428621894	0.11762399579209254	0.18621590161852494	RCC1
ENSG00000180210	25733.83641704737	52.71885978119553	9.757804121321987e-11	1.5940048876044286e-9	F2
ENSG00000180219	2.3694758771283135	2.7453355684442613	0.6013051027416512	0.6672173928498707	GARIN6
ENSG00000180228	338.56843981187603	5.647883953013661	0.2270329415791526	0.3130713728365303	PRKRA
ENSG00000180233	564.7893335827338	19.840898299679793	5.368391464269024e-4	0.0021123169141921663	ZNRF2
ENSG00000180245	5.8187823443399065	7.760927354205023	0.10073888105813764	0.16493082310247992	RRH
ENSG00000180251	106.06496980194915	46.304023990933274	2.12893430994862e-9	2.8146532497160314e-8	SLC9A4
ENSG00000180257	103.08389326909635	6.84321674991952	0.14440912538646616	0.21931508081817516	ZNF816
ENSG00000180263	359.1952507852063	12.639486909931293	0.013178505145457651	0.03171235929330274	FGD6
ENSG00000180287	19.103047286740978	7.056093676443652	0.13295345781507004	0.2053740834905347	PLD5
ENSG00000180304	1591.0578966708254	6.953744680480668	0.13835289110034252	0.21170953860741937	OAZ2
ENSG00000180316	7.64499194150287	11.360651850375461	0.02279625188296058	0.04956213772320161	PNPLA1
ENSG00000180329	155.69637945439237	2.120152374997815	0.7136709900025017	0.7613118860667162	CCDC43
ENSG00000180332	12.835519931096037	4.362796107241138	0.3591276746811652	0.4481744718174652	KCTD4
ENSG00000180336	53.9322753725127	17.629924138140268	0.0014574687133530751	0.004968741197073703	MEIOC
ENSG00000180340	4.586634508931616	17.67017553678147	0.0014313583470904145	0.004896257771669011	FZD2
ENSG00000180346	538.7638005516519	15.747446472915726	0.003377468643448365	0.010210775337490978	TIGD2
ENSG00000180347	9.53223458049557	18.558703379079816	9.593884605739711e-4	0.003468310577093998	ITPRID1
