Ensembl_ID	Gene_symbol	baseMean	padj_lrt	sig_lrt	n_baseline_sig	baseline_dirs	first_stage_diff	baseline_hits	n_strata_sig	strata_dirs	strata_hits	class
ENSG00000122884	P4HA1	515.8998556919472	5.428351655980133e-4	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F1	baseline_and_strata
ENSG00000110675	ELMOD1	16.877256861355118	5.497703585655467e-4	TRUE	2	down	2	F2_vs_F0,F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000100300	TSPO	163.49712183370613	5.578635460095661e-4	TRUE	1	up	4	F4_vs_F0	2	up	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000241370	RPP21	35.16044701029216	5.630896134910352e-4	TRUE	1	up	4	F4_vs_F0	1	up	F4_vs_F2	baseline_and_strata
ENSG00000205111	CDKL4	4.305520464988211	5.689202983806251e-4	TRUE	1	up	3	F3_vs_F0	2	up	F3_vs_F1,F4_vs_F1	baseline_and_strata
ENSG00000175485	OR52W1	3.895974329806227	5.769552836567955e-4	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000267710	EDDM13	28.721930535869536	5.779218708355099e-4	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000082929	LINC01587	2.055665250767554	6.090074682245339e-4	TRUE	2	up	3	F3_vs_F0,F4_vs_F0	3	up	F3_vs_F1,F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000239388	ASB14	24.703342052758924	6.294950696236379e-4	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F3	baseline_and_strata
ENSG00000163618	CADPS	23.555100916474476	6.296845805648379e-4	TRUE	1	up	4	F4_vs_F0	3	up	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000165084	C8orf34	50.153079665014474	6.296845805648379e-4	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F1	baseline_and_strata
ENSG00000111837	MAK	48.11870995410009	6.330324184088363e-4	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000198553	KCNRG	49.990545449600965	6.388002021789872e-4	TRUE	1	down	4	F4_vs_F0	2	down	F4_vs_F1,F4_vs_F2	baseline_and_strata
ENSG00000157423	HYDIN	442.5384138400557	6.543619102083664e-4	TRUE	2	down	3	F3_vs_F0,F4_vs_F0	2	down	F3_vs_F1,F3_vs_F2	baseline_and_strata
ENSG00000172689	MS4A10	16.35515770565231	6.600895487550076e-4	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000155886	SLC24A2	26.027152157615053	6.903741387743858e-4	TRUE	1	down	4	F4_vs_F0	1	down	F4_vs_F2	baseline_and_strata
ENSG00000187033	SAMD7	3.179119502944405	6.917502347357005e-4	TRUE	1	down	4	F4_vs_F0	3	down	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
ENSG00000184588	PDE4B	175.16064640663345	7.185603702101089e-4	TRUE	1	up	4	F4_vs_F0	3	up	F4_vs_F1,F4_vs_F2,F4_vs_F3	baseline_and_strata
