Ensembl_ID	Gene_symbol	contrast	type	dir	baseMean	log2FC	lfcSE	padj	n_ds_tested	n_ds_same_dir
ENSG00000053328	METTL24	F4_vs_F0	baseline	up	12.817341705154208	1.2513780910913281	0.17525703036914608	3.223066030445286e-11	3	3
ENSG00000169413	RNASE6	F4_vs_F0	baseline	up	80.07104072405026	1.0530073262011233	0.1475676585815039	3.322825161999397e-11	3	3
ENSG00000185274	GALNT17	F4_vs_F0	baseline	up	15.797407635922124	1.5711413608995586	0.22020294539551352	3.334833554926711e-11	3	3
ENSG00000109576	AADAT	F4_vs_F0	baseline	down	1068.6684800040057	-0.6465169740457062	0.09062074359756138	3.3436045800970226e-11	3	3
ENSG00000081052	COL4A4	F4_vs_F0	baseline	up	202.21888748785832	1.0694860251907397	0.14994037545936068	3.374882838916657e-11	3	3
ENSG00000105290	APLP1	F4_vs_F0	baseline	up	11.17974927439	1.5192228583330691	0.21316962677404575	3.515632097195793e-11	3	3
ENSG00000176463	SLCO3A1	F4_vs_F0	baseline	up	147.29522105544586	0.6580964960891506	0.09235406807998174	3.5344708900965364e-11	3	3
ENSG00000147065	MSN	F4_vs_F0	baseline	up	2692.4270761801795	0.5933454329268912	0.08327749776141788	3.549611298076123e-11	3	3
ENSG00000007062	PROM1	F4_vs_F0	baseline	up	97.62909915631131	1.2258101737401903	0.17260670214572618	4.172251520410169e-11	3	3
ENSG00000163430	FSTL1	F4_vs_F0	baseline	up	901.301033057248	0.7549633588906625	0.10633549009980862	4.22118366622582e-11	3	3
ENSG00000117122	MFAP2	F4_vs_F0	baseline	up	8.395654006501706	1.9259598513839746	0.27134026515709775	4.258990014003311e-11	3	3
ENSG00000227051	C14orf132	F4_vs_F0	baseline	down	370.0250390468936	-0.7216590400056707	0.10167837873268094	4.258990014003311e-11	3	3
ENSG00000132164	SLC6A11	F4_vs_F0	baseline	up	13.969673541089008	2.837320623244401	0.3997970803933451	4.267613609228479e-11	3	3
ENSG00000170323	FABP4	F4_vs_F0	baseline	up	122.74557961003397	2.0951456502528356	0.29558709171931236	4.5391364475236145e-11	3	3
ENSG00000111344	RASAL1	F4_vs_F0	baseline	up	10.36770391509884	1.4745896139168828	0.20835294659118017	4.8941823917577863e-11	3	3
ENSG00000213977	TAX1BP3	F4_vs_F0	baseline	up	50.78644034646713	1.260522224341345	0.17814896660675342	4.944363494880193e-11	3	3
ENSG00000171729	TMEM51	F4_vs_F0	baseline	up	47.56461725876275	0.7859530897298864	0.1111459735729298	5.089755556427395e-11	3	3
ENSG00000178301	AQP11	F4_vs_F0	baseline	down	304.88737115322573	-0.6268142946382665	0.08867359490137895	5.174544149273884e-11	3	3
ENSG00000176092	CRYBG2	F4_vs_F0	baseline	up	4.30865939748844	2.1035542191374264	0.2976444323142796	5.217904755895053e-11	3	3
ENSG00000006016	CRLF1	F4_vs_F0	baseline	up	8.010173145462737	1.850039127118452	0.2620312604696185	5.475008037239063e-11	3	3
ENSG00000064205	CCN5	F4_vs_F0	baseline	up	28.72950610502927	1.6284082530623671	0.23090090062197635	5.7760523221200866e-11	3	3
ENSG00000083123	BCKDHB	F4_vs_F0	baseline	down	1528.1791515846594	-0.627240783621245	0.0889404534549447	5.7760523221200866e-11	3	3
ENSG00000158186	MRAS	F4_vs_F0	baseline	up	173.15566555304684	0.8334370223779932	0.11830475457734625	6.072775940810835e-11	3	3
ENSG00000108821	COL1A1	F4_vs_F0	baseline	up	828.4195138252736	1.6622337862341712	0.2362063089975253	6.388292729168487e-11	3	3
ENSG00000176225	RTTN	F4_vs_F0	baseline	down	503.74363622126435	-0.6854546211179605	0.09741759294428898	6.419532289596144e-11	3	3
ENSG00000187699	C2orf88	F4_vs_F0	baseline	down	276.4279830304348	-0.7336356033440933	0.10447670162561676	7.095386590138574e-11	3	3
ENSG00000198832	SELENOM	F4_vs_F0	baseline	up	69.77893325223243	1.2056758644147765	0.1717706034385025	7.229543875467456e-11	3	3
ENSG00000203805	PLPP4	F4_vs_F0	baseline	up	17.89814530766951	1.183270966697242	0.16868838736471922	7.454745341906056e-11	3	3
ENSG00000204099	NEU4	F4_vs_F0	baseline	down	447.30311000942703	-1.46243033928777	0.2087434028968994	7.899244747942495e-11	3	3
ENSG00000144843	ADPRH	F4_vs_F0	baseline	up	70.858078217852	0.6821092069095896	0.09741318179556607	8.07561330776771e-11	3	3
ENSG00000141448	GATA6	F4_vs_F0	baseline	up	146.69725372471711	0.761984750378739	0.10883829172098801	8.126333435203248e-11	3	3
